cqid,scenario,cq,generated_ontology,llm_ontology_suggestion,SPARQL,setting,
1," Context is about a circular value network where actors collaboratively leverage competencies and resources to achieve outcomes unattainable individually.","What actors hold this information?",ActorODP.ttl,1.txt,A
2," Context is about a circular value network in which multiple actors combine their competencies and resources to generate both primary and secondary beneficial outcomes.","What are the actors involved in this circular value network (CVN)?",AllCombined.ttl,2.txt,B
3," Context is about theatre productions where individuals, exemplified by actors in Shakespearean plays, assume multiple roles across diverse productions and festivals at specific points in time.","What roles does a certain person have within a certain production at a certain point in time?",theatre_memless_CQbyCQ llama-3.1-405b-instruct-bf16.ttl,3.txt,A
4,"Context is about music production, detailing the evolving membership and collaborations within a band, as illustrated by the configuration and history of the Red Hot Chili Peppers.","What are the members of a certain band at a certain point in time?",music_memless_CQbyCQ llama-3.1-405b-instruct-bf16.ttl,4.txt,B
5,"Context is about music production, detailing the evolving membership and collaborations within a band, as illustrated by the configuration and history of the Red Hot Chili Peppers.","What does a certain critic say about a certain record?",music run3 RQ3 O1.ttl,5.txt,B
6," Context is about a hospital setting where staff unions are defined by members like Pasquale Di Gennaro, who represents male nurses, alongside other personnel evaluations and archival documentation.","Who are the members of a certain union at a certain point in time?",hospital_ontogenia_llama-3.1-405b-instruct-bf16.ttl,6.txt,A
7," Context is about an intelligent bathroom environment where weather information is displayed graphically on a mirror and audibly through loudspeakers as one moves around.","Using what device and what functionality of that device should this content be displayed?",OntoGenia/IntBathS1-5c.ttl,7.txt,B
8," Context is about historical meetups among musicians and performers, aiming to visualize and analyze the intersections of their careers and the broader cultural dynamics over time and space.","Did musician X and performer Y ever meet? Where, when, and why?",O1-Outputs/o1-MEETCQ4.ttl,8.txt,B
9," Context is about the logistical process of relocating a historical organ for restoration, involving archival research, technical comparisons, and verification of its original components.","When is an organ moved to another location?",O1-Outputs/o1-CQ6.ttl,9.txt,B
10,"Context is about comparing different habitats based on the composition of their microbial and fungal communities.","Which habitats are equivalent in terms of their microbial and fungal communities' composition?",O1-Outputs/o1-micro6.ttl,10.txt,B
11," Context is about evaluating the impact on external social and environmental factors by analyzing process combinations, resource exchange feasibility, material flow tracking, and the economic and technical viability of energy strategies.","What effects would it have on external social and environmental factors?",DeepSeek-Outputs/CE5-14.ttl,11.txt,A
12,"Context is about monitoring water quality by recording chemical substance levels to investigate potential links between contaminated water sources and adverse public health outcomes.","When is the level of a chemical substance recorded in a water body?",DeepSeek-Outputs/WHOW6.ttl,12.txt,A
13,"Context is about music instrument (organ)  to guide a church organ restoration","What are the original parts of the organ?",organs.owl,13.txt,A
14,"Context is about music instrument (organ)  to guide a church organ restoration","Which resources mention an organ builder?",organs.owl,14.txt,B
15,"Context is about music instrument (organ)  to guide a church organ restoration","Which resources mention an organ?",organs.owl,15.txt,A
16,"Context is about safeguarding bell tower sound practices and restoring bell towers while preserving tradition.","What kind of execution techniques are possible to perform according to a specific mounting system?",bells.owl,16.txt,A
17,"Context is about describing historical meetups through key components: people, place, event type, and date.","Was it a celebration, a festival, a private event?",meetups.owl,17.txt,A
18,"Context is about describing historical meetups through key components: people, place, event type, and date.","Who paid to support the event?",meetups.owl,18.txt,B
19,"Context is about Music Meta, a semantic model for describing music metadata across genres, periods, and stakeholders.","With what level of confidence is composition X a variant in tune family Y?",tunes.owl,19.txt,A
20,"Context is about Music Meta, a semantic model for describing music metadata across genres, periods, and stakeholders.","What are all collections in this tune family?",tunes.owl,20.txt,B
